supplier_id,supplier_device_id,consumer_id,consumer_device_id,amount,price,mode,datetime
group8,ESS,user1,appliances:e01b03,136,46.008,FROM_EXTERNAL,0:0
group8,ESS,user1,appliances:ab28be,81,46.008,FROM_EXTERNAL,0:0
group8,ESS,user1,appliances:d5fd4e,140,46.008,FROM_EXTERNAL,0:0
group8,ESS,user1,appliances:ca83b0,154,46.008,FROM_EXTERNAL,0:0
group8,ESS,user2,appliances:79bac1,181,46.008,FROM_EXTERNAL,0:0
group8,ESS,user2,appliances:abe0b1,154,46.008,FROM_EXTERNAL,0:0
group8,ESS,user2,appliances:6c5950,128,46.008,FROM_EXTERNAL,0:0
group8,ESS,user2,appliances:10c78d,66,46.008,FROM_EXTERNAL,0:0
group8,ESS,user3,appliances:b5ccfb,131,46.008,FROM_EXTERNAL,0:0
group8,ESS,user3,appliances:e3d0b7,92,46.008,FROM_EXTERNAL,0:0
group8,ESS,user3,appliances:95cd72,165,46.008,FROM_EXTERNAL,0:0
group8,ESS,user4,appliances:8d19e3,55,46.008,FROM_EXTERNAL,0:0
group8,ESS,user4,appliances:6b4196,158,46.008,FROM_EXTERNAL,0:0
group8,ESS,user4,appliances:483897,100,46.008,FROM_EXTERNAL,0:0
group8,ESS,user4,appliances:4be1b2,130,46.008,FROM_EXTERNAL,0:0
group8,ESS,user5,appliances:c1228d,178,46.008,FROM_EXTERNAL,0:0
group8,ESS,user5,appliances:7aec67,108,46.008,FROM_EXTERNAL,0:0
group8,ESS,user5,appliances:e1725a,158,46.008,FROM_EXTERNAL,0:0
group8,ESS,user5,appliances:a9fe79,132,46.008,FROM_EXTERNAL,0:0
group8,ESS,user5,appliances:aa9989,144,46.008,FROM_EXTERNAL,0:0
group8,ESS,user6,appliances:334672,118,46.008,FROM_EXTERNAL,0:0
group8,ESS,user6,appliances:11d1e6,60,46.008,FROM_EXTERNAL,0:0
group8,ESS,user6,appliances:3e31d7,168,46.008,FROM_EXTERNAL,0:0
group8,ESS,user6,appliances:d38f91,73,46.008,FROM_EXTERNAL,0:0
group8,ESS,user7,appliances:86de43,112,46.008,FROM_EXTERNAL,0:0
group8,ESS,user7,appliances:7c5734,137,46.008,FROM_EXTERNAL,0:0
group8,ESS,user7,appliances:634f22,152,46.008,FROM_EXTERNAL,0:0
group8,ESS,user7,appliances:c817a2,155,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:9e25a7,70,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:aaa1bd,127,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:5dc436,158,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:935f98,130,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:5b707e,112,46.008,FROM_EXTERNAL,0:0
group8,ESS,user8,appliances:ac4c55,76,46.008,FROM_EXTERNAL,0:0
group8,ESS,user9,appliances:20295c,178,46.008,FROM_EXTERNAL,0:0
group8,ESS,user9,appliances:a41dc5,98,46.008,FROM_EXTERNAL,0:0
group8,ESS,user9,appliances:4bb522,190,46.008,FROM_EXTERNAL,0:0
group8,ESS,user10,appliances:23455a,143,46.008,FROM_EXTERNAL,0:0
group8,ESS,user10,appliances:79e590,88,46.008,FROM_EXTERNAL,0:0
group8,ESS,user10,appliances:713d30,124,46.008,FROM_EXTERNAL,0:0
group8,ESS,user10,appliances:009570,169,46.008,FROM_EXTERNAL,0:0
group8,ESS,user1,ev:21e78f,4705.882353,27.486,FROM_EXTERNAL,0:1
group8,ESS,user1,appliances:e01b03,136,27.486,FROM_EXTERNAL,0:1
group8,ESS,user1,appliances:ab28be,81,27.486,FROM_EXTERNAL,0:1
group8,ESS,user1,appliances:d5fd4e,140,27.486,FROM_EXTERNAL,0:1
group8,ESS,user1,appliances:ca83b0,154,27.486,FROM_EXTERNAL,0:1
group8,ESS,user2,appliances:79bac1,181,27.486,FROM_EXTERNAL,0:1
group8,ESS,user2,appliances:abe0b1,154,27.486,FROM_EXTERNAL,0:1
group8,ESS,user2,appliances:6c5950,128,27.486,FROM_EXTERNAL,0:1
group8,ESS,user2,appliances:10c78d,66,27.486,FROM_EXTERNAL,0:1
group8,ESS,user3,appliances:b5ccfb,131,27.486,FROM_EXTERNAL,0:1
group8,ESS,user3,appliances:e3d0b7,92,27.486,FROM_EXTERNAL,0:1
group8,ESS,user3,appliances:95cd72,165,27.486,FROM_EXTERNAL,0:1
group8,ESS,user4,appliances:8d19e3,55,27.486,FROM_EXTERNAL,0:1
